,x_value,y_value,peak_num,time_gap,frequencies(HZ)
370,6.207274,431,1,0.0526270000000002,19.00165314382344
372,6.233317,430,1,0.026043000000000482,38.398034020657434
375,6.286925,435,1,0.053607999999999656,18.653932248918192
377,6.314779,436,1,0.0278539999999996,35.90148632153423
379,6.366557,431,1,0.051778000000000546,19.313221831665754
381,6.392768,434,1,0.026210999999999984,38.151920949219814
383,6.446321,435,1,0.05355299999999996,18.673090209698817
385,6.47325,434,1,0.02692899999999998,37.13468751160462
387,6.525566,426,1,0.05231600000000025,19.114611208807922
389,6.55271,427,1,0.027143999999999835,36.84055408193362
391,6.60559,426,1,0.05288000000000004,18.910741301058987
393,6.651566,433,1,0.04597599999999957,21.750478510527433
395,6.712097,434,1,0.06053100000000011,16.520460590441232
397,6.738846,431,1,0.02674899999999969,37.38457512430415
399,6.791121,436,1,0.05227500000000074,19.12960306073622
401,6.818033,435,1,0.02691199999999938,37.15814506539919
403,6.870762,434,1,0.05272900000000025,18.964895977545474
405,6.906093,434,1,0.03533100000000022,28.303755908408867
407,6.95791,432,1,0.05181699999999978,19.29868575949986
409,6.984918,432,1,0.027008000000000365,37.0260663507104
411,7.03766,434,1,0.0527419999999994,18.960221455386815
413,7.065685,435,1,0.02802500000000041,35.68242640499502
415,7.117042,433,1,0.05135699999999943,19.471542340869036
417,7.143901,435,1,0.026858999999999966,37.23146803678474
419,7.195992,432,1,0.052091000000000776,19.197174175961013
421,7.222025,431,1,0.026032999999999973,38.41278377444017
423,7.275127,433,1,0.05310199999999998,18.831682422507633
425,7.301993,433,1,0.026866000000000057,37.22176728951083
427,7.354785,433,1,0.052791999999999284,18.942263979391075
429,7.382036,433,1,0.02725100000000058,36.69590106784994
431,7.432728,436,1,0.05069199999999974,19.726978615955282
433,7.460012,435,1,0.027283999999999864,36.65151737281942
435,7.51272,435,1,0.05270799999999998,18.97245199969645
437,7.539714,433,1,0.026994000000000185,37.045269319107696
439,7.591241,434,1,0.0515270000000001,19.407301026646188
441,7.618265,432,1,0.027023999999999937,37.00414446418007
443,7.669844,430,1,0.051579000000000264,19.387735318637333
445,7.696593,430,1,0.02674899999999969,37.38457512430415
447,7.748682,349,1,0.05208899999999961,19.197911267254266
449,7.828078,435,1,0.07939600000000002,12.59509295178598
451,7.854556,435,1,0.026478,37.76720296094871
453,7.907524,432,1,0.05296800000000079,18.879323365050315
455,7.934234,435,1,0.026709999999999567,37.43916136278608
457,7.987344,431,1,0.05311000000000021,18.82884579175289
459,8.015305,432,1,0.02796099999999946,35.764099996424285
461,8.069781,433,1,0.05447600000000108,18.356707540935094
463,8.097105,436,1,0.027324000000000126,36.597862684819034
465,8.15038,433,1,0.053274999999999295,18.770530267480304
467,8.177452,435,1,0.02707200000000043,36.938534278959224
469,8.231416,431,1,0.05396399999999879,18.530872433474585
471,8.258405,436,1,0.026989000000000374,37.05213235021624
473,8.310676,433,1,0.05227100000000107,19.13106693960283
475,8.336719,435,1,0.026042999999999594,38.39803402065874
