Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,35601.351563,35858.718750,33794.035156,34263.265625,34263.265625,23843412530
2021-08-27,34228.476563,35679.457031,33884.761719,35640.140625,35640.140625,25071607215
2021-08-28,35650.250000,35803.480469,35233.726563,35526.617188,35526.617188,20754155759
2021-08-29,35533.042969,36065.457031,34817.175781,35481.660156,35481.660156,18812429561
2021-08-30,35485.308594,35561.675781,34126.746094,34199.421875,34199.421875,23146309158
2021-08-31,34177.152344,34956.941406,33976.988281,34297.019531,34297.019531,25254010114
2021-09-01,34248.367188,35641.980469,33898.480469,35470.320313,35470.320313,28421113814
2021-09-02,35441.867188,36453.015625,35318.324219,35651.070313,35651.070313,28554023234
2021-09-03,35622.539063,36779.628906,34955.949219,36080.351563,36080.351563,31162068194
2021-09-04,36068.777344,36472.832031,35736.613281,36022.113281,36022.113281,27025857929
2021-09-05,36017.230469,37419.570313,35729.269531,37346.296875,37346.296875,21881449685
2021-09-06,37357.550781,38081.910156,36877.449219,38032.675781,38032.675781,28097421276
2021-09-07,38052.144531,38163.218750,31410.214844,33972.054688,33972.054688,47324635774
2021-09-08,33984.125000,34340.714844,32399.564453,33479.957031,33479.957031,35598356531
2021-09-09,33249.949219,34105.687500,33169.476563,33523.183594,33523.183594,27945480720
2021-09-10,33526.968750,33989.933594,32052.416016,32444.648438,32444.648438,28303224832
2021-09-11,32434.478516,33226.835938,32397.197266,32671.839844,32671.839844,24936653414
2021-09-12,32675.578125,33506.691406,32374.769531,33285.593750,33285.593750,20147686156
2021-09-13,33281.218750,33683.996094,31514.519531,32493.328125,32493.328125,29607625980
2021-09-14,32491.144531,34201.503906,32335.394531,34104.902344,34104.902344,27992314290
2021-09-15,34108.886719,34986.808594,33854.812500,34794.304688,34794.304688,22016756914
2021-09-16,34781.710938,35079.687500,34132.492188,34629.078125,34629.078125,23019901326
2021-09-17,34620.125000,34881.800781,34093.187500,34400.167969,34400.167969,20907340574
2021-09-18,34404.539063,35509.484375,34268.996094,35135.835938,35135.835938,20796658027
2021-09-19,35128.914063,35172.226563,34186.941406,34424.011719,34424.011719,19643100403
2021-09-20,34424.878906,34478.828125,31187.433594,31359.693359,31359.693359,32139987157
2021-09-21,31482.976563,31870.621094,29122.820313,29796.154297,29796.154297,35659230369
2021-09-22,29784.642578,32173.042969,29749.054688,32001.773438,32001.773438,28010374566
2021-09-23,31991.333984,32749.003906,31653.763672,32719.861328,32719.861328,24957313865
2021-09-24,32719.281250,32876.660156,29922.289063,31304.164063,31304.164063,31303866576
2021-09-25,31304.996094,31418.527344,30515.101563,31214.167969,31214.167969,23094420212
